0.495 , 0.99
186.375 , 0.99
294.025 , 0.98
365.07 , 0.97
422.145 , 0.97
472 , 0.96
515.95 , 0.95
556.225 , 0.93
595.455 , 0.9
628.76 , 0.91
662.26 , 0.91
694.74 , 0.92
723.265 , 0.93
753.075 , 0.92
778.52 , 0.89
809.725 , 0.85
836.06 , 0.82
857.725 , 0.83
878.235 , 0.82
906.98 , 0.84
936.3 , 0.85
958.99 , 0.83
963.03 , 0.82
994.29 , 0.83
985.955 , 0.79
1042.525 , 0.74
1068.54 , 0.73
1074.335 , 0.7
1094.77 , 0.67
1089.69 , 0.65
1138.12 , 0.64
1148.685 , 0.63
1170.94 , 0.66
1190.755 , 0.7
1187.845 , 0.72
1223.105 , 0.72
1236.795 , 0.72
1264.855 , 0.73
1278.05 , 0.73
1277.09 , 0.72
1278.08 , 0.73
1316.695 , 0.77
1346.9 , 0.8
1357.26 , 0.8
1364.645 , 0.78
1387.335 , 0.75
1321.515 , 0.75
1360.64 , 0.72
1420.66 , 0.67
1447.87 , 0.63
1421.54 , 0.6
1360.445 , 0.58
1170.145 , 0.57
1408.09 , 0.57
1492.42 , 0.57
1542.01 , 0.62
1567.215 , 0.67
1556.75 , 0.72
1433.88 , 0.73
1281.49 , 0.73
1154.125 , 0.73
1152.53 , 0.75
1259.825 , 0.76
1636.145 , 0.71
1629.4 , 0.67
1613.59 , 0.64
1607.185 , 0.65
1577.435 , 0.65
1575.12 , 0.65
1553.36 , 0.65
1070.77 , 0.65
900.72 , 0.65
1168.885 , 0.62
1762.835 , 0.63
1691.985 , 0.63
1532.55 , 0.62
1382.33 , 0.62
1353.4 , 0.62
1417.39 , 0.62
1625.265 , 0.62
1569.62 , 0.61
1750.63 , 0.62
1917.985 , 0.61
1767.805 , 0.61
1719.56 , 0.61
1669.95 , 0.61
1639.625 , 0.61
1517.065 , 0.62
1400.625 , 0.62
1320.01 , 0.62
1252.885 , 0.62
1840.245 , 0.59
2061.89 , 0.55
2042.735 , 0.55
2041.83 , 0.56
2041 , 0.56
2041 , 0.56
2040.97 , 0.56
2039.185 , 0.56
2038 , 0.56
2026.7 , 0.56
2004.205 , 0.57
2163.815 , 0.61
2108.785 , 0.6
2042.005 , 0.6
1942.865 , 0.6
1684.715 , 0.59
1369.525 , 0.6
1044.17 , 0.59
1169.8 , 0.58
1474.805 , 0.57
